accession	phylum	class	species
GB_GCA_035290625	Nanobdellota	Nanobdellia	DATDTY01 sp035290625
GB_GCA_035289845	Nanobdellota	Nanobdellia	DATDWB01 sp035289845
GB_GCA_035289425	Nanobdellota	Nanobdellia	DATDXC01 sp035289425
GB_GCA_035289205	Aenigmatarchaeota	Aenigmatarchaeia	DATDXV01 sp035289205
GB_GCA_035289045	Nanobdellota	Nanobdellia	DATDYH01 sp035289045
GB_GCA_035289005	Nanobdellota	Nanobdellia	DATDYN01 sp035289005
GB_GCA_035288565	Iainarchaeota	Iainarchaeia	DATDZZ01 sp035288565
GB_GCA_035283785	Nanobdellota	Nanobdellia	DATETG01 sp035283785
GB_GCA_035283685	Thermoproteota	Bathyarchaeia	DATETJ01 sp035283685
GB_GCA_035269625	Halobacteriota	Halobacteria	DATFIX01 sp035269625
GB_GCA_035299465	Nanobdellota	Nanobdellia	DATGWN01 sp035299465
GB_GCA_035622335	Thermoproteota	Nitrososphaeria	DATJAJ01 sp035622335
GB_GCA_035541015	Thermoplasmatota	SW-10-69-26	DATLFM01 sp035541015
GB_GCA_035540375	Thermoplasmatota	SW-10-69-26	DATLGO01 sp035540375
RS_GCF_000231015	Thermoproteota	Thermoprotei_A	Desulfurococcus amylolyticus
RS_GCF_000186365	Thermoproteota	Thermoprotei_A	Desulfurococcus mucosus
